liberality,free giving; generosity
entice,attract, lure"
commemorate,keep the memory of
perjury,willful FALSE statement unlawful act
forgery,counterfeit
heterogeneous,made up of different kinds
acumen,Keen, quick, accurate insight or judgment"
engulf,swallow up
ambiguous,doubtful; uncertain
dupe,cheat make a fool of
jabber,talk excitedly; utter rapidly
evasive,tending to evade
sluggard,lazy slow-moving person
acclaimed,welcomed with shouts and approval
immutable,that cannot be changed
conceal,hide keep secret
gait,a manner of walking, stepping, or running"
dormant,in a state of inactivity but awaiting development
apt,well-suited; quick-witted
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
pluck,pull the feathers off pick (e.g.. flowers)
eulogy,formal praise panegyric
disproof,proof to the contrary
derivative,unoriginal; obtained from another source
eradicate,get rid of pull up by the roots
anguish,severe suffering
ingest,take in by swallowing
cryptic,secret with a hidden meaning
buoyant,able to float; light-hearted
appease,make quiet or calm
solvent,of the power of forming a solution
divergence,getting farther apart from a point
introspection,examining one's own thoughts and feelings
evoke,call up bring out
shard,A piece of broken pottery
clot,half-solid lump formed from liquid
chisel,steel tool for shaping materials
coagulation,change to a thick and solid state
flimsy,lacking solidarity, strength"
mite,A very small amount, portion, or particle"
hospitable,liking to give hospitality
dullard,a stupid, insensitive person"
incongruous,out of place; not in harmony or agreement
sadistic,Cruel
refine,make or become pure cultural
strive,to make great efforts, to struggle"
sequence,succession connected line of
brittle,easily broken
Lambaste,attack verbally
cordial,warm and sincere
fragile,easily injured broken or destroyed
dislodge,move force from the place occupied
pivotal,of great importance (others depend on it)
gullible,easily gulled
accolade,praise; approval
partisan,one-sided committed to a party biased or prejudiced
warrant,authority written order guarantee
extinct,no longer active
amalgamate,mix; combine; unite societies
livid,Furiously angry, enraged"
braggart,boastful
nihilism,total rejection of all religious and moral beliefs
abscond,to go away suddenly (to avoid arrest)
writ,written order
abide,be faithful; to endure
colloquial,involving or using conversation.
impermeable,that cannot be permeated
precursors,a person or thing that precedes, as in a process or job."
boisterous,noisy; restraint
relapse,fall back again
grumble,to complain
apartheid,brutal racial discrimination
disallow,refuse to allow or accept as a correct
spear,weapon with a metal point on a long shaft
affinity,close connection; relationship
shunned,avoided, kept away from"
combustion,process of burning
fidelity,loyalty accuracy
euphoria,elation state of pleasant excitement
timid,shy easily frightened
commuter,person who travels regularly
narcissism,Self-love
philanthropist,one who loves mankind
skit,short piece of humorous writing
complaisant,trying to please; obliging
concur,agree in opinion happen together
turmoil,trouble disturbance
stride,walk with long steps
auxiliary,helping; supporting
misogynist,one who hates women/females
redeem,get back by payment compensate
superimpose,put something on the top
grievous,causing grief or pain; serious dire grave
bogus,sham; counterfeit; not genuine
pest,destructive thing or a person who is nuisance
steeply,rising or falling sharply
odor,smell
extralegal,outside the law
introvert,one who turns towards himself
extinguish,end the existence of/wipe or put out
patron,regular customer person who gives support
cumbersome,burdensome; heavy and awkward to carry
plea,request
bewilder,puzzle; confuse
pertain,belong as a part have reference
dwarf,person much smaller the usual size
erratic,irregular in behaviour or opinion
gerontocracy,government ruled by old people
tractable,easily controlled or guided
foster,nurture; care for
ambivalent,having both of two contrary meanings
affable,polite and friendly
scribble,write hastily
paradigm,a model example or pattern
loll,rest to sit or stand in a lazy way hang (dog's tongue)
recuperate,become strong after illness loss exhaustion
vigorous,strong energetic
sanction,approval (by authority) penalty
constrict,make tight or smaller
animosity,strong dislike
abysmal,extreme bad
torque,twisting force causing rotation
elaborate,worked out with much care in great detail
disrobe,undress
surcharge,additional load/charge
mesmerize,hypnotize
premature,doing or happening something before the right time
tonic,something giving strength or energy
catalyst,substance that causes speeding up
retrospective,Looking back on past
invincible,too strong to be defeated
malleable,yielding easily shaped; moldable; adapting
centurion,leader of a unit of 100 soldiers
reconcile,settle a quarrel restore peace
defer,postpone
volatile,changeable inconstant fickle unstable explosive
resuscitation,coming back to consciousness
permeate,spread into every part of
abstruse,difficult to comprehend; obscure
agile,active; quick-moving
sophisticated,complex; subtle; refined
chortle,loud chuckle of pleasure or amusement
indulgent,inclined to indulge
impromptu,without preparation
stray,wander lose one's way
negligent,taking too little care
infuriate,fill with fury or rage
judicious,sound in judgment; wise
brass,yellow metal (mixing copper and zinc)
asterisk,the mark * (e.g.. omitted letters)
enzyme,catalyst
somersault,rolling backward or forward (not sideways) movement
beguile,mislead or delude; cheat; pass time
indigenous,native
succumb,yield, die"
garrulous,too talkative
ambidextrous,able to use the left hand or the right equally well
adorn,add beauty; decorate
repel,refuse to accept/cause dislike
predominate,have more power than others
gallant,brave,behaves well with women"
sanity,health of mind soundness of judgment
embezzle,use in a wrong way for one's own benefit
renovate,restore something to better condition
opaqueness,dullness/not allowing light to pass through
treacherous,not to be trusted, perfidious"
woo,try to win
scent,smell (especially pleasant)
fleet,number of ships; quick-moving
massacre,cruel killing of a large number of people
connote,Suggest or imply in addition to the precise, literal meaning"
encapsulate,enclose in capsule
sporadic,happening from time to time
sobriety,quality or condition of being sober
foolproof,incapable of failure or error
reiterate,say or do again several times
benefactor,person who has given help
weigh,measure how heavy something is
ameliorate,improve; make better
implosion,collapse; bursting inward
retrograde,receding
flop,fail/move/fall clumsily
limp,lacking strength; walking unevenly
suffice,be enough
aggravate,make worse; irritate
drowsiness,feeling sleepy half asleep
fission,splitting or division (esp. of cells)
hypocrisy,falsely making oneself appear to be good
sheath,cover for the blade of a weapon or a tool
moribund,in a dying state; near death
shallow,little depth; not earnest
implicit,implied though; not plainly expressed
arrogance,proud; superior manner of behaviour
arcane,known or understood by very few
adulteration,making unpure; poorer in quality
impede,hinder; get in the way of
ascend,go or come up
rejuvenation,becoming young in nature or appearance
aberration,straying away from what is normal
riddle,puzzling person or thing
connoisseur,a person with good judgement (e.g.. in art)
satiate,satisfy fully
repulsive,causing a feeling of disgust
salvage,the saving of property from loss
eloquence,fluent speaking skillful use of language
audacious,Bold
knit,draw together; unite firmly
yarn,tale story fibers for knitting
submerge,put under water liquid sink out of sight
poseur,a person who attempts to impress by acting unlike himself
ail,to cause pain, uneasiness, or trouble to."
legacy,Bequest or inheritance
recitals,a number of performance of music
alleviate,make (pain) easier to bear
alloy,to debase by mixing with something inferior
correlate,have a mutual relation
calipers,metal supports attached to the legs measuring instrument
unscathed,unharmed unhurt
enigma,something that is puzzling
dangle,hand or swing loosely
mischievous,harmful; causing mischief
edible,fit to be eaten/not poisonous
malevolent,malicious; evil; having or showing ill will
dote,show much fondness center one's attention
sawdust,tiny bits of wood
indistinct,not easily heard; seen clearly marked
inclined,directing the mind in a certain direction
articulate,speak distinctly; connect by joints
allegiance,duty support loyalty
curriculum,course of study
clientele,customers
ossified,turned to bone; hardened like bone; Inflexible
enduring,lasting
pilferer,to steal, especially in small quantities"
luminary,star; light-giving body
suffocate,cause or have difficulty in breathing
endeavor,to make an effort, to try very hard"
tadpole,form of a frog when it leaves the egg
conjoin,to join together
reminiscent,suggest something in the past
moderation,quality of being limited; not extreme
presentiment,anticipatory fear; premonition
vivacious,lively high-spirited
turbulence,being uncontrollably violent
perish,be destroyed decay
yeoman,man owning small estate; middle-class farmer
equilibrium,state of being balanced
offhand,Without preparation or forethought
lampoon,publicly mock or ridicule
meticulous,giving great attention to details
misanthrope,person who hates mankind
dexterity,skill (esp. in handling)
sponge,porous rubber for washing live at once expense
console,give comfort or sympathy to
antidote,medicine used against a poison or a disease
parenthesis,sentence within another one something separated
abhor,to hate; to detest
endorse,write one's name on the back of
renowned,celebrated; famous
edify,instruct; correct morally
fragrant,sweet-smelling
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
